y.1,y.2,y.3,c.1,c.2,c.3,elev,forest,dur.1,dur.2,dur.3,day.1,day.2,day.3,length
0,0,NA,0,0,NA,1940,5,300,300,NA,76,91,NA,5.1
0,0,NA,0,0,NA,2420,0,165,125,NA,88,96,NA,4.1
0,0,1,0,0,1,1320,66,195,185,185,27,40,65,5.8
0,0,0,0,0,0,790,8,240,240,270,26,47,72,5.4
0,0,0,0,0,0,470,75,285,270,240,25,46,62,8.4
0,0,0,0,0,0,410,68,240,255,270,22,50,75,7.1
1,1,1,7,1,6,1940,72,135,120,140,64,78,94,4
1,1,1,9,9,9,1570,95,310,305,270,28,41,56,5.3
1,1,1,5,5,5,1880,57,240,300,260,50,76,90,5.7
0,0,0,0,0,0,1290,64,210,210,190,23,60,74,4
1,1,1,1,1,1,1340,44,320,260,240,28,43,52,4.5
1,0,0,1,0,0,880,44,195,210,195,13,37,47,4.8
0,0,0,0,0,0,710,34,255,270,285,16,36,58,7.1
0,0,0,0,0,0,630,21,300,300,315,20,43,61,5.4
0,0,0,0,0,0,450,23,150,150,150,28,42,60,4.8
0,NA,NA,0,NA,NA,2360,1,330,NA,NA,60,76,NA,8.9
1,1,1,8,7,7,1650,43,300,285,240,27,42,62,5
1,1,1,1,7,3,2050,30,270,255,270,61,72,77,4.1
0,0,0,0,0,0,790,26,210,255,225,20,40,62,4.8
0,NA,NA,0,NA,NA,730,7,120,NA,NA,13,41,69,5.6
0,0,0,0,0,0,490,87,195,175,270,15,34,54,6.3
0,0,0,0,0,0,840,49,270,290,295,21,46,73,4.8
0,0,0,0,0,0,450,39,270,280,280,23,46,69,7.6
1,1,1,3,1,4,1010,93,240,290,250,20,37,50,5.4
0,0,0,0,0,0,1450,48,230,240,240,51,70,77,4.7
0,0,0,0,0,0,850,11,115,130,125,22,30,59,3.3
1,0,1,2,0,2,1240,73,345,315,360,22,42,56,6.2
0,0,0,0,0,0,570,12,135,165,150,27,41,69,5.9
1,1,1,5,4,3,1500,42,265,290,330,50,69,78,5.6
0,0,0,0,0,0,1420,26,195,210,255,40,47,64,4.9
0,0,0,0,0,0,780,13,130,155,130,23,37,61,3.2
0,0,0,0,0,0,470,2,185,125,115,20,41,52,4.5
0,0,NA,0,0,NA,2080,15,185,205,NA,72,99,NA,4.4
1,1,1,19,12,13,2020,54,290,290,255,43,73,98,5.8
1,1,1,3,8,3,1750,74,300,330,260,50,59,76,5.5
1,1,1,2,2,1,1630,45,245,275,245,48,60,75,4.3
0,0,0,0,0,0,640,61,260,250,265,21,42,63,5.9
0,0,0,0,0,0,530,33,220,245,240,18,31,61,5.5
0,0,0,0,0,0,660,54,145,168,160,26,46,62,3.5
1,1,1,1,1,1,1360,69,225,225,225,42,61,77,3.5
0,0,0,0,0,0,1290,47,210,205,210,31,38,76,7
0,0,0,0,0,0,670,5,180,190,180,37,40,55,6.5
0,0,0,0,0,0,480,36,285,330,300,21,50,69,7.7
1,1,1,4,3,2,2000,60,300,330,330,71,76,81,4.8
0,1,1,0,1,1,800,72,125,155,170,26,51,61,3.3
0,0,0,0,0,0,1010,29,190,180,170,21,46,74,4.6
0,0,0,0,0,0,680,7,215,220,185,26,46,62,5.6
0,0,0,0,0,0,490,7,230,255,280,21,41,63,4.3
0,0,0,0,0,0,400,13,150,150,180,21,40,63,4.3
0,0,0,0,0,0,320,2,195,180,220,21,39,62,8.3
1,1,1,2,4,1,1400,16,255,255,270,49,91,92,5.4
0,0,0,0,0,0,590,62,190,220,215,21,42,62,4
0,0,0,0,0,0,430,9,215,275,285,28,50,63,7.1
0,0,0,0,0,0,410,37,210,240,225,21,48,63,7.4
0,0,0,0,0,0,510,71,220,205,210,18,46,56,5.7
1,1,1,6,8,9,1930,41,390,375,360,84,97,103,4.8
1,0,NA,1,0,NA,1560,19,300,300,NA,80,96,NA,3
0,0,0,0,0,0,700,24,270,285,330,18,37,66,6.7
0,0,0,0,0,0,440,10,215,235,213,16,46,50,6.5
0,0,0,0,0,0,480,0,145,145,140,26,58,65,6.1
0,0,0,0,0,0,490,70,225,300,320,16,42,66,6.2
1,1,1,3,3,8,1850,45,180,225,225,69,76,83,5.9
0,0,0,0,0,0,490,18,150,125,140,15,35,73,4.2
0,0,0,0,0,0,480,20,180,180,180,15,39,61,6.5
0,0,0,0,0,0,440,3,150,180,180,20,41,69,5
0,0,0,0,0,0,820,20,300,300,350,26,45,72,6.1
0,0,0,0,0,0,670,36,290,315,285,22,37,61,4.3
0,0,0,0,0,0,610,19,152,225,241,18,46,64,5.4
1,0,0,1,0,0,1700,35,205,190,225,62,75,77,3.6
0,0,0,0,0,0,900,87,200,225,230,16,51,65,7
1,1,1,2,1,1,1250,51,210,210,210,41,47,61,5.8
0,0,0,0,0,0,910,21,240,270,390,38,52,75,4.2
0,0,0,0,0,0,540,11,240,270,270,20,51,82,6.1
0,0,0,0,0,0,450,29,135,165,150,21,45,66,4.7
0,0,0,0,0,0,470,55,225,230,275,14,40,64,4.9
0,1,NA,0,1,NA,1880,32,240,270,NA,64,84,NA,6.9
1,0,1,1,0,1,1400,32,210,210,225,39,47,69,4.5
0,0,0,0,0,0,470,3,135,120,125,26,46,62,5.2
0,0,NA,0,0,NA,830,58,205,210,NA,43,55,72,5
0,1,1,0,1,2,1950,36,285,295,305,70,84,98,4.4
0,0,0,0,0,0,1660,86,230,205,199,51,72,84,5
0,1,1,0,1,1,1210,75,245,235,270,16,46,74,4.6
1,0,0,1,0,0,380,23,230,220,220,27,45,62,5.8
0,0,NA,0,0,NA,1840,0,260,260,NA,64,88,NA,3.8
0,0,0,0,0,0,950,71,225,225,195,18,50,84,6.9
0,0,0,0,0,0,880,69,180,210,185,21,39,63,6.7
0,0,0,0,0,0,480,6,180,210,210,28,47,63,4.6
0,0,0,0,0,0,550,67,300,300,300,29,38,50,4.9
0,0,0,0,0,0,550,67,300,300,300,29,38,50,4.9
0,0,0,0,0,0,340,42,300,310,340,20,42,76,5
0,0,0,0,0,0,550,72,255,255,270,20,42,70,5.5
0,0,0,0,0,0,1320,79,205,180,170,46,71,78,3.7
0,0,0,0,0,0,260,47,160,190,180,15,29,52,7.3
1,0,0,1,0,0,2010,26,300,300,270,67,87,107,4.1
0,0,0,0,0,0,1130,56,210,210,200,21,48,62,4.9
1,0,NA,1,0,NA,1910,18,255,255,NA,48,76,NA,4.4
1,1,1,1,2,2,1630,33,290,300,285,55,76,101,2.9
0,0,0,0,0,0,1540,21,150,135,125,47,62,78,3.3
1,1,1,2,4,3,1340,39,335,300,300,46,50,62,4
0,0,0,0,0,0,1180,69,270,270,285,30,45,59,5.5
0,0,0,0,0,0,830,42,300,315,295,21,56,72,6
0,0,0,0,0,0,540,98,240,210,215,31,50,62,5.8
1,1,1,2,3,1,1410,52,185,185,210,24,46,60,3.5
0,1,0,0,1,0,1320,90,170,215,195,23,45,50,4.4
1,0,1,1,0,1,890,50,225,195,225,22,47,74,4.1
0,0,0,0,0,0,580,54,225,210,195,16,30,45,4.9
0,0,0,0,0,0,500,9,210,210,210,31,39,42,5.1
1,1,1,2,1,1,1220,51,280,270,270,27,55,80,5
1,0,0,3,0,0,710,35,315,300,345,13,50,60,5.2
0,0,0,0,0,0,1820,57,360,270,300,61,84,90,3.8
0,0,0,0,0,0,520,18,230,255,265,21,39,46,5.8
1,1,NA,1,1,NA,1890,12,305,290,NA,76,96,NA,4.6
0,0,0,0,0,0,1650,34,165,160,135,45,63,83,3.4
0,0,0,0,0,0,1390,68,285,285,300,39,50,60,4.1
0,0,0,0,0,0,1390,63,225,150,200,40,73,90,4.7
1,0,0,1,0,0,1290,48,290,300,300,28,45,55,4.5
0,1,1,0,1,2,1810,33,270,240,240,47,61,101,3.5
1,1,0,1,1,0,1130,90,275,260,285,13,39,55,5
0,0,0,0,0,0,480,33,270,300,240,13,31,48,6
0,0,0,0,0,0,1040,37,240,240,225,28,48,63,4
0,0,0,0,0,0,410,8,135,180,135,28,50,81,3.4
1,1,1,14,13,9,2030,36,255,325,315,53,77,95,4.7
1,1,1,6,6,8,1880,66,270,260,240,44,66,78,4.6
0,0,0,0,0,0,950,56,275,230,285,31,39,47,4.1
0,0,0,0,0,0,450,0,260,270,285,23,37,65,5.9
0,0,0,0,0,0,950,41,255,270,300,13,46,62,5
0,0,0,0,0,0,1070,63,315,355,380,24,54,78,9.1
0,0,NA,0,0,NA,1980,0,235,180,NA,78,86,NA,5.5
0,1,0,0,2,0,1350,35,195,200,200,28,55,76,4.7
0,0,0,0,0,0,540,14,240,200,235,28,51,63,7.5
0,0,0,0,0,0,420,1,240,180,210,23,41,61,7.2
1,1,0,8,4,0,1420,27,280,285,289,38,52,72,3.9
0,0,NA,0,0,NA,2240,0,240,210,NA,63,77,NA,6.6
1,0,NA,1,0,NA,1980,6,360,360,NA,63,80,NA,4.1
0,1,NA,0,1,NA,2330,0,270,240,NA,63,76,NA,3.8
0,0,NA,0,0,NA,2050,1,180,180,NA,62,69,NA,3.9
1,1,1,4,2,4,1180,58,285,290,295,26,41,59,4.2
1,0,NA,3,0,NA,2010,9,330,310,NA,76,90,NA,4.4
1,1,NA,3,1,NA,2220,14,195,220,NA,77,85,NA,4.6
1,1,NA,1,2,NA,2310,2,350,365,NA,87,94,NA,4.3
1,1,1,4,8,10,2190,30,360,360,360,63,74,88,6.8
1,1,1,6,4,4,1770,93,205,250,180,51,62,72,8.5
1,1,1,6,6,5,1830,82,320,295,310,60,72,74,6.5
1,1,1,6,12,9,1870,81,290,300,305,59,61,73,6.2
1,1,1,12,7,8,1840,82,300,300,300,55,68,82,4.6
0,0,NA,0,0,NA,2420,0,296,290,NA,74,88,NA,5.3
1,1,1,7,2,8,1820,69,326,296,283,50,66,76,4.7
1,1,1,9,13,12,1850,53,300,300,330,65,74,95,5.9
0,0,NA,0,0,NA,2250,0,300,300,NA,83,99,NA,3.6
0,0,NA,0,0,NA,2250,0,180,180,NA,60,94,NA,4.1
0,0,NA,0,0,NA,2450,0,330,330,NA,76,84,NA,4.3
0,0,NA,0,0,NA,2350,0,360,300,NA,56,83,NA,9.3
0,0,NA,0,0,NA,2650,0,100,95,NA,87,102,NA,2
0,0,NA,0,0,NA,2750,0,365,350,NA,86,89,NA,5.2
0,0,NA,0,0,NA,2450,0,305,335,NA,83,97,NA,5.9
0,0,NA,0,0,NA,1950,0,165,195,NA,62,74,NA,5.2
0,0,NA,0,0,NA,2150,0,240,240,NA,79,84,NA,4.9
0,0,NA,0,0,NA,1850,1,210,145,NA,75,78,NA,3.5
0,0,NA,0,0,NA,2050,0,150,210,NA,87,99,NA,5.7
0,0,NA,0,0,NA,1850,0,195,210,NA,73,79,NA,1.4
0,0,NA,0,0,NA,2050,15,165,180,NA,85,91,NA,3.4
0,0,NA,0,0,NA,2150,0,170,170,NA,83,91,NA,1.2
0,0,NA,0,0,NA,2050,0,180,255,NA,70,84,NA,4.4
0,0,NA,0,0,NA,1950,2,195,210,NA,63,76,NA,5.3
0,0,NA,0,0,NA,1950,0,270,270,NA,70,98,NA,5.2
0,0,NA,0,0,NA,2250,0,190,210,NA,63,91,NA,4.2
0,0,NA,0,0,NA,2250,0,300,300,NA,78,93,NA,2.7
0,0,NA,0,0,NA,2350,0,190,250,NA,79,100,NA,2.9
